"TRS_DT","LOC_NO","DIV_NO","net_sales","net_units","pa_sales","pa_units","pam_sales","pam_units","total_markdowns","avg_ticket_amt","avg_ticket_units","lease_sales","lease_units","kenmore_net_sale","craftsman_net_sale","diehard_net_sale","kenmore_net_units","craftsman_net_units","diehard_net_units","pos_source_system","trs_dt_sk_id","gross_profit","reject_reason"
"2017-01-29","3792","22","2402.0100000000002","6","116.98999999999999","1","1823.3699999999999","3","1047.95","1823.3699999999999","3","0","0","1823.3700000000001","0","0","3","0","0","T","20170129","","Unable to find POS in dim.location3792"
"2017-01-29","3792","26","7263.46","26","451.56999999999999","3","6811.0699999999997","11","3208.2199999999998","6811.0699999999997","11","0","0","5298.9200000000001","0","0","23","0","0","T","20170129","","Unable to find POS in dim.location3792"
"2017-01-29","3792","46","3281.9499999999998","5","0","0","3131.98","2","2768","3131.98","2","0","0","3131.9799999999996","0","0","2","0","0","T","20170129","","Unable to find POS in dim.location3792"
"2017-01-29","4973","20","406.95999999999998","4","0","0","0","0","558","0","0","143.09","1","271.97000000000003","0","0","3","0","0","T","20170129","","Unable to find POS in dim.location4973"
"2017-01-29","4973","22","199.99000000000001","1","0","0","199.99000000000001","1","60","199.99000000000001","1","0","0","199.99000000000001","0","0","1","0","0","T","20170129","","Unable to find POS in dim.location4973"
"2017-01-29","4973","26","777.27999999999997","5","0","0","707.34000000000003","2","1821.6099999999999","707.34000000000003","2","0","0","777.27999999999997","0","0","5","0","0","T","20170129","","Unable to find POS in dim.location4973"
"2017-01-29","4973","46","1004.96","4","199.99000000000001","1","854.99000000000001","1","345","854.99000000000001","1","0","0","854.99000000000001","0","0","1","0","0","T","20170129","","Unable to find POS in dim.location4973"
"2017-01-29","4973","71","494.99000000000001","3","0","0","270","1","1259.98","0","0","524.69000000000005","3","0","270","0","0","1","0","T","20170129","","Unable to find POS in dim.location4973"
"2017-01-29","4973","82","791.98000000000002","4","0","0","0","0","1080","0","0","0","0","0","0","0","0","0","0","T","20170129","","Unable to find POS in dim.location4973"
"2017-01-29","5056","6","247.5","1","0","0","0","0","1152.49","0","0","0","0","0","0","0","0","0","0","T","20170129","","Unable to find POS in dim.location5056"
"2017-01-29","5056","22","1737","5","0","0","908.98000000000002","2","662.95000000000005","908.98000000000002","2","0","0","652.97000000000003","0","0","3","0","0","T","20170129","","Unable to find POS in dim.location5056"
"2017-01-29","5056","26","636.76999999999998","5","0","0","555.79999999999995","2","904.17999999999995","555.79999999999995","2","0","0","-479.01999999999998","0","0","2","0","0","T","20170129","","Unable to find POS in dim.location5056"
"2017-01-29","5056","46","3023.4499999999998","7","206.99000000000001","1","2990.5100000000002","4","3599.4499999999998","2990.5100000000002","4","0","0","3230.5100000000002","0","0","4","0","0","T","20170129","","Unable to find POS in dim.location5056"
"2017-01-29","5064","22","-999.99000000000001","-1","-249.99000000000001","-1","-999.99000000000001","-1","-1000","-999.99000000000001","-1","0","0","-999.99000000000001","0","0","-1","0","0","T","20170129","","Unable to find POS in dim.location5064"
"2017-01-29","5064","26","5083.6400000000003","20","152.99000000000001","1","4804.8800000000001","10","3379.1199999999999","4774.8900000000003","9","0","0","2550.8000000000002","0","0","13","0","0","T","20170129","","Unable to find POS in dim.location5064"
"2017-01-29","5064","46","6808.8000000000002","7","0","0","6776.96","4","6954.1000000000004","6776.96","4","0","0","6776.9599999999991","0","0","4","0","0","T","20170129","","Unable to find POS in dim.location5064"
"2017-01-29","6901","20","456.85000000000002","4","0","0","0","0","125.11","0","0","0","0","456.85000000000002","0","0","4","0","0","T","20170129","","Unable to find POS in dim.location6901"
"2017-01-29","6901","22","7164.46","10","197.99000000000001","1","6348.5900000000001","6","3699.4699999999998","6348.5900000000001","6","0","0","3300.5699999999997","0","0","8","0","0","T","20170129","","Unable to find POS in dim.location6901"
"2017-01-29","6901","26","-238.96000000000001","-3","0","0","-126","0","0","-126","0","0","0","-238.96000000000001","0","0","-3","0","0","T","20170129","","Unable to find POS in dim.location6901"
"2017-01-29","6901","46","5857.3100000000004","11","341.99000000000001","1","5668.4200000000001","4","5944.5500000000002","5668.4200000000001","4","0","0","5723.4099999999999","0","0","5","0","0","T","20170129","","Unable to find POS in dim.location6901"
"2017-01-29","6901","82","1131.97","5","0","0","0","0","1328","0","0","0","0","0","0","0","0","0","0","T","20170129","","Unable to find POS in dim.location6901"
"2017-01-29","9299","20","119.98999999999999","1","0","0","0","0","10","0","0","0","0","119.98999999999999","0","0","1","0","0","T","20170129","","Unable to find POS in dim.location9299"
