Inactive,Close Date,Location Desc,Format,Ownership Type,Name (no hierarchy),POS Number,EIS Number,Region,District,District Manager Name,City,State/Province,Zip,Address 1,Address 2,Latitude,Longitude,Open Date,Change of Owner / Takeover Date,Franchisee / Dealer,Location Type,Issue Date,Expiration Date
No,1/28/2017,"HTS - Othello,WA",HTS,,5563,3158,5563,9037,110,,Othello,WA,99344,730 E Main Street,,,,,,,Retail,,
No,3/31/2017,"HTS - Ocoee,FL",HTS,,5566,5566,5566,9040,372,,Ocoee,FL,34761,8849 W Colonial Drive,,,,,,,Retail,,
No,1/28/2017,"HTS - Gaylord,MI",HTS,,5577,3170,5577,9052,123,,Gaylord,MI,49735,1150 South Otsego,,,,,,,Retail,,
No,7/29/2017,"HTS - Longmont,CO",HTS,,5579,5579,5579,9037,111,,Longmont,CO,80501,700 Ken Pratt Boulevard,Suite K2-B,,,,,,Retail,,
No,7/29/2017,"HTS - Red Wing,MN",HTS,,5582,3171,5582,9052,221,,Red Wing,MN,55066,1919 Old West Main,,,,,,,Retail,,
No,1/28/2017,"AHS - The Woodlands,TX",AHS,,5736,5736,5736,9041,311,,The Woodlands,TX,77381,4775 W Panther Creek Drive,Suite 270,,,,,,Retail,,
No,1/1/2016,"HTS - New Castle,IN",HTS,,5738,3266,5738,9042,381,,New Castle,IN,47362,3005 South 14th Street,,,,,,,Retail,,
No,10/28/2017,"HTS - Liberal,KS",HTS,Transition,5745,3270,5745,9039,377,,Liberal,KS,67901,1010 S Kansas,,37.02333,-100.924263,,11/22/2016,,Retail,,
No,7/29/2017,"HTS - Whiteville,NC",HTS,,5750,3276,5750,9040,371,,Whiteville,NC,28472,1615 C South JK Powell,,,,,,,Retail,,
No,1/19/2018,"HTS - Onley,VA",HTS,Owner,5759,3289,5759,9042,363,,Onley,VA,23418,25044 Lankford Highway,Suite 3001,37.702187,-75.713804,,3/7/2011,,Retail,,
No,12/30/2017,"AHS - HEWITT,NJ",AHS,Company,5804,5804,5804,9041,321,,HEWITT,NJ,07421,1926 UNION VALLEY RD,,41.153338,-74.355161,,6/3/2012,,Retail,,
No,12/11/2016,"AHS - Youngstown,OH",AHS,,5810,5810,5810,9041,314,,Youngstown,OH,44515,6009 Mahoning Avenue,,,,,,,Retail,,
No,1/28/2017,"HTS - Somerset,PA",HTS,,5826,3373,5826,9042,364,,Somerset,PA,15501,1534 North Center Avenue,,,,,,,Retail,,
No,10/28/2017,"HTS - Grayling,MI",HTS,Owner,5830,3381,5830,9042,126,,Grayling,MI,49738,6375 M 72 West,,44.654715,-84.735169,,5/16/2015,,Retail,,
No,7/29/2017,"HTS - Roanoke Rapids,NC",HTS,,5836,3396,5836,9040,376,,Roanoke Rapids,NC,27870,1211 Julian Allsbrook Highway,,,,,,,Retail,,
No,5/19/2017,"HTS - Jamestown, ND",HTS,,5838,3399,5838,9037,218,,Jamestown,ND,58401,2400 8th Avenue Southwest,,,,,,,Retail,,
No,8/7/2017,"HTS - Griffin,GA",HTS,,5840,3405,5840,9040,395,,Griffin,GA,30223,1503 Highway 16 West,,,,,,,Retail,,
No,7/29/2017,"HTS - Pittsfield,IL",HTS,,5846,3412,5846,9052,393,,Pittsfield,IL,62363,1073 W Washington,,,,,,,Retail,,
No,7/29/2017,"HTS - Middletown,RI",HTS,,5847,3414,5847,9042,382,,Middletown,RI,02842,1235 W Main Rd,,41.510082,-71.282944,,,,Retail,,
No,1/28/2017,"HTS - Estherville,IA",HTS,,5850,3420,5850,9052,120,,Estherville,IA,51334,408 Central Avenue,,,,,,,Retail,,
No,1/28/2017,"HTS - Liberty,NY",HTS,,5855,3428,5855,9042,382,,Liberty,NY,12754,25 Sullivan Avenue,Suite 1,,,,,,Retail,,
No,7/29/2017,"HTS - Hibbing,MN",HTS,,5856,3431,5856,9052,116,,Hibbing,MN,55746,990 West 41st Street,,,,,,,Retail,,
No,7/29/2017,"HTS - South Boston,VA",HTS,,5858,3433,5858,9040,394,,South Boston,VA,24592,3100 Halifax Road,,,,,,,Retail,,
No,10/31/2016,"HTS - Dyersburg,TN",HTS,,5887,3486,5887,9039,378,,Dyersburg,TN,38024,550 Highway 51 By-Pass,,,,,,,Retail,,
No,1/28/2017,"HTS - Minocqua,WI",HTS,,5892,3512,5892,9052,119,,Minocqua,WI,54548,7363 Highway 51 South,,,,,,,Retail,,
No,7/29/2017,"HTS - McPherson,KS",HTS,,5925,3560,5925,9039,201,,McPherson,KS,67460,311 North Main,,37.69959,-97.667325,,,,Retail,,
No,1/28/2017,"HTS - Du Quoin,IL",HTS,,5926,3561,5926,9039,216,,Du Quoin,IL,62832,325 S Washington,,37.69959,-89.237236,,,,Retail,,
No,8/7/2017,"HTS - Maysville,KY",HTS,,5930,3575,5930,9042,127,,Maysville,KY,41056,50 Tucker Drive,,37.69959,-83.789517,,,,Retail,,
No,6/2/2017,"HTS - Dundas,MN",HTS,,5949,3620,5949,9052,221,,Dundas,MN,55019,420 Schilling Drive North,,37.69959,-93.197937,,,,Retail,,
No,7/29/2017,"HTS - Belfast,ME",HTS,,5968,3644,5968,9042,373,,Belfast,ME,04915,38 Starrett Drive,,37.69959,-69.018205,,,,Retail,,
No,1/28/2017,"HTS - Pennington Gap,VA",HTS,,5983,3663,5983,9040,129,,Pennington Gap,VA,24277,40518 West Morgan Avenue,,37.69959,-83.037407,,,,Retail,,
No,1/28/2017,"HTS - Prattville,AL",HTS,,6019,3675,6019,9040,384,,Prattville,AL,36066,690 Mcqueen Smith Road S,Suite 126,37.69959,-86.41877,,,,Retail,,
No,7/29/2017,"HTS - Winchester,KY",HTS,,6087,3685,6087,9042,127,,Winchester,KY,40391,1946 Bypass Road,,37.69959,-84.206096,,,,Retail,,
