Location Store,Location,Format,Ownership Type,Name (no hierarchy),POS Number,EIS Number,Region,District,District Manager Name,City,State/Province,Zip,Address 1,Address 2,Latitude,Longitude,Open Date,Change of Owner / Takeover Date,Franchisee / Dealer,Location Type,Issue Date,Expiration Date
"Knox, IN (5929)","Knox, IN",HTS,Owner,5929,3571,5929,9042,124,,Knox,IN,46534,1704 S Heaton,,41.280011,-86.619915,,,,Retail,,
"Greenville, OH (6475)","Greenville, OH",HTS,Owner,6475,3769,6475,9042,381,,Greenville,OH,45331,1220 Russ Road,,40.121971,-84.615353,,,,Retail,,
"Bryan, OH (3091)","Bryan, OH",HTS,Owner,3091,3091,3091,9042,381,,Bryan,OH,43506,1429 West High Street,,41.47402,-84.573446,,12/2/2012,,Retail,,
"Lapeer, MI (3261)","Lapeer, MI",HTS,Owner,3261,3261,3261,9042,126,,Lapeer,MI,48446,1356 Imlay City Rd.,,43.049073,-83.292973,,10/30/2016,,Retail,,
"Tawas City, MI (3280)","Tawas City, MI",HTS,Owner,3280,3280,3280,9042,126,,Tawas City,MI,48763,215 West Lake Street,,44.270506,-83.512885,,2/16/2014,,Retail,,
"West Branch, MI (5536)","West Branch, MI",HTS,Owner,5536,3140,5536,9042,126,,West Branch,MI,48661,2711 I 75 Business Loop,,44.255666,-84.223018,,6/12/2016,,Retail,,
"Howell, MI (5895)","Howell, MI",HTS,Owner,5895,3522,5895,9042,126,,Howell,MI,48843,4193 East Grand River,,42.58654,-83.870647,,6/11/2017,,Retail,,
"Caro, MI (5951)","Caro, MI",HTS,Owner,5951,3630,5951,9042,126,,Caro,MI,48723,1152 Cleaver Road,,43.500363,-83.386708,,4/8/2007,,Retail,,
"Bowling Green, OH (6574)","Bowling Green, OH",HTS,Owner,6574,3804,6574,9042,381,,Bowling Green,OH,43402,1234 N Main,,41.398612,-83.647517,,,,Retail,,
"ADRIAN, MI (7315)","ADRIAN, MI",HTS,Owner,7315,7315,7315,9042,126,,ADRIAN,MI,49221,1424 S MAIN STREET,,41.87538,-84.044141,,,,Retail,,
"Norwalk, OH (7482)","Norwalk, OH",HTS,Owner,7482,7482,7482,9042,381,,Norwalk,OH,44857,60 E Main Street,,41.24291,-82.612891,,,,Retail,,
"Fenton, MI (7671)","Fenton, MI",HTS,Owner,7671,7671,7671,9042,126,,Fenton,MI,48430,14283 Fenton Road,,42.820643,-83.706069,,,,Retail,,
"Nevada, MO (3001)","Nevada, MO",HTS,Transition,3001,3001,3001,9029,385,,Nevada,MO,64772,1909 E Austin Boulevard,,37.836985,-94.332789,,7/30/2017,,Retail,,
